source,target,type,weight
tt1600194,tt0364845,Undirected,99
tt3155320,tt0364845,Undirected,15
tt3155320,tt1600194,Undirected,5
tt1600199,tt0364845,Undirected,95
tt1600199,tt1600194,Undirected,31
tt1600199,tt3155320,Undirected,5
tt0174378,tt0364845,Undirected,58
tt0174378,tt1600194,Undirected,4
tt0174378,tt1600199,Undirected,15
tt1124373,tt0364845,Undirected,77
tt1124373,tt1600194,Undirected,26
tt1124373,tt1600199,Undirected,18
tt1124373,tt0174378,Undirected,15
tt0072562,tt0364845,Undirected,11
tt0072562,tt1600194,Undirected,12
tt0072562,tt3155320,Undirected,2
tt0072562,tt1600199,Undirected,13
tt0072562,tt0174378,Undirected,9
tt0072562,tt1124373,Undirected,3
tt0413573,tt0364845,Undirected,286
tt0413573,tt1600194,Undirected,64
tt0413573,tt3155320,Undirected,10
tt0413573,tt1600199,Undirected,80
tt0413573,tt0174378,Undirected,51
tt0413573,tt1124373,Undirected,50
tt0413573,tt0072562,Undirected,14
tt1138475,tt0364845,Undirected,5
tt1138475,tt1600194,Undirected,5
tt1138475,tt0174378,Undirected,3
tt1138475,tt1124373,Undirected,4
tt1138475,tt0413573,Undirected,6
tt1833285,tt0364845,Undirected,4
tt1833285,tt1600194,Undirected,2
tt1833285,tt0174378,Undirected,2
tt1833285,tt0072562,Undirected,3
tt1833285,tt0413573,Undirected,4
tt0462128,tt0364845,Undirected,23
tt0462128,tt1600194,Undirected,5
tt0462128,tt3155320,Undirected,2
tt0462128,tt1600199,Undirected,11
tt0462128,tt0174378,Undirected,9
tt0462128,tt1124373,Undirected,4
tt0462128,tt0072562,Undirected,11
tt0462128,tt0413573,Undirected,31
tt0118300,tt0364845,Undirected,38
tt0118300,tt1600194,Undirected,4
tt0118300,tt1600199,Undirected,12
tt0118300,tt0174378,Undirected,5
tt0118300,tt1124373,Undirected,2
tt0118300,tt0072562,Undirected,11
tt0118300,tt0413573,Undirected,12
tt0118300,tt0462128,Undirected,3
tt3749900,tt0364845,Undirected,6
tt3749900,tt1600194,Undirected,3
tt3749900,tt0413573,Undirected,5
tt0118303,tt0364845,Undirected,59
tt0118303,tt1600194,Undirected,8
tt0118303,tt1600199,Undirected,23
tt0118303,tt0174378,Undirected,30
tt0118303,tt1124373,Undirected,7
tt0118303,tt0072562,Undirected,12
tt0118303,tt0413573,Undirected,48
tt0118303,tt0462128,Undirected,11
tt0118303,tt0118300,Undirected,4
tt0118303,tt3749900,Undirected,2
tt0071007,tt0364845,Undirected,7
tt0071007,tt0174378,Undirected,4
tt0071007,tt0072562,Undirected,4
tt0071007,tt0413573,Undirected,12
tt0071007,tt0118300,Undirected,5
tt0071007,tt0118303,Undirected,3
tt0165581,tt0364845,Undirected,60
tt0165581,tt1600194,Undirected,6
tt0165581,tt1600199,Undirected,14
tt0165581,tt0174378,Undirected,33
tt0165581,tt1124373,Undirected,8
tt0165581,tt0072562,Undirected,18
tt0165581,tt0413573,Undirected,60
tt0165581,tt0462128,Undirected,13
tt0165581,tt0118300,Undirected,3
tt0165581,tt0118303,Undirected,35
tt0165581,tt0071007,Undirected,4
tt0086687,tt0364845,Undirected,12
tt0086687,tt1600199,Undirected,4
tt0086687,tt0174378,Undirected,4
tt0086687,tt1124373,Undirected,3
tt0086687,tt0072562,Undirected,15
tt0086687,tt0413573,Undirected,14
tt0086687,tt0462128,Undirected,2
tt0086687,tt0118303,Undirected,3
tt0086687,tt0071007,Undirected,5
tt0086687,tt0165581,Undirected,5
tt2189221,tt0364845,Undirected,3
tt0286486,tt0364845,Undirected,119
tt0286486,tt1600194,Undirected,22
tt0286486,tt3155320,Undirected,2
tt0286486,tt1600199,Undirected,19
tt0286486,tt0174378,Undirected,25
tt0286486,tt1124373,Undirected,45
tt0286486,tt0072562,Undirected,4
tt0286486,tt0413573,Undirected,82
tt0286486,tt1138475,Undirected,3
tt0286486,tt0462128,Undirected,5
tt0286486,tt0118300,Undirected,5
tt0286486,tt0118303,Undirected,12
tt0286486,tt0071007,Undirected,2
tt0286486,tt0165581,Undirected,24
tt0286486,tt0086687,Undirected,8
tt2226342,tt0364845,Undirected,18
tt2226342,tt1600194,Undirected,4
tt2226342,tt1600199,Undirected,3
tt2226342,tt1124373,Undirected,5
tt2226342,tt0413573,Undirected,10
tt2226342,tt0462128,Undirected,3
tt2226342,tt0118300,Undirected,6
tt2226342,tt0165581,Undirected,3
tt2226342,tt0286486,Undirected,6
tt2963254,tt0364845,Undirected,2
tt0106028,tt0364845,Undirected,12
tt0106028,tt1600194,Undirected,10
tt0106028,tt1600199,Undirected,8
tt0106028,tt0174378,Undirected,5
tt0106028,tt1124373,Undirected,5
tt0106028,tt0072562,Undirected,14
tt0106028,tt0413573,Undirected,27
tt0106028,tt0462128,Undirected,2
tt0106028,tt0118300,Undirected,14
tt0106028,tt3749900,Undirected,2
tt0106028,tt0071007,Undirected,3
tt0106028,tt0165581,Undirected,5
tt0106028,tt0086687,Undirected,17
tt0106028,tt0286486,Undirected,15
tt1843323,tt0364845,Undirected,23
tt1843323,tt1600194,Undirected,4
tt1843323,tt1600199,Undirected,7
tt1843323,tt0174378,Undirected,6
tt1843323,tt1124373,Undirected,6
tt1843323,tt0072562,Undirected,14
tt1843323,tt0413573,Undirected,24
tt1843323,tt0462128,Undirected,5
tt1843323,tt0118300,Undirected,2
tt1843323,tt0118303,Undirected,4
tt1843323,tt0165581,Undirected,4
tt1843323,tt0286486,Undirected,5
tt1843323,tt0106028,Undirected,3
tt0275137,tt0364845,Undirected,24
tt0275137,tt1600194,Undirected,10
tt0275137,tt1600199,Undirected,8
tt0275137,tt0174378,Undirected,2
tt0275137,tt1124373,Undirected,7
tt0275137,tt0072562,Undirected,14
tt0275137,tt0413573,Undirected,18
tt0275137,tt0118300,Undirected,2
tt0275137,tt0118303,Undirected,12
tt0275137,tt0071007,Undirected,2
tt0275137,tt0165581,Undirected,12
tt0275137,tt0086687,Undirected,4
tt0275137,tt0286486,Undirected,7
tt0275137,tt0106028,Undirected,5
tt2543328,tt0364845,Undirected,3
tt2543328,tt0413573,Undirected,4
tt2543328,tt0118300,Undirected,6
tt2543328,tt0106028,Undirected,2
tt0094525,tt0364845,Undirected,6
tt0094525,tt0908454,Undirected,3
tt0094525,tt1124373,Undirected,2
tt0094525,tt0072562,Undirected,2
tt0094525,tt0413573,Undirected,2
tt0094525,tt2189221,Undirected,3
tt0094525,tt3006802,Undirected,2
tt0134247,tt0364845,Undirected,40
tt0134247,tt1600194,Undirected,12
tt0134247,tt1600199,Undirected,8
tt0134247,tt0174378,Undirected,20
tt0134247,tt1124373,Undirected,6
tt0134247,tt0072562,Undirected,5
tt0134247,tt0413573,Undirected,42
tt0134247,tt0462128,Undirected,7
tt0134247,tt0118300,Undirected,4
tt0134247,tt3749900,Undirected,3
tt0134247,tt0118303,Undirected,16
tt0134247,tt0071007,Undirected,4
tt0134247,tt0165581,Undirected,22
tt0134247,tt0086687,Undirected,3
tt0134247,tt0286486,Undirected,24
tt0134247,tt0106028,Undirected,4
tt0134247,tt1843323,Undirected,4
tt0134247,tt0275137,Undirected,3
tt0380136,tt0072562,Undirected,5
tt0380136,tt0094525,Undirected,3
tt0297494,tt0174378,Undirected,3
tt0297494,tt0072562,Undirected,18
tt0297494,tt0118303,Undirected,2
tt0297494,tt0165581,Undirected,3
tt0297494,tt2226342,Undirected,2
tt0297494,tt1843323,Undirected,4
tt0297494,tt0134247,Undirected,2
tt1001482,tt0364845,Undirected,21
tt1001482,tt1600194,Undirected,5
tt1001482,tt3155320,Undirected,4
tt1001482,tt1600199,Undirected,8
tt1001482,tt0174378,Undirected,2
tt1001482,tt1124373,Undirected,5
tt1001482,tt0072562,Undirected,2
tt1001482,tt0413573,Undirected,27
tt1001482,tt0118300,Undirected,2
tt1001482,tt0118303,Undirected,4
tt1001482,tt0165581,Undirected,5
tt1001482,tt0286486,Undirected,2
tt1001482,tt1843323,Undirected,5
tt1001482,tt0275137,Undirected,3
tt0111987,tt0364845,Undirected,4
tt0111987,tt0103584,Undirected,10
tt0111987,tt0413573,Undirected,3
tt0111987,tt2189221,Undirected,2
tt0103352,tt0364845,Undirected,10
tt0103352,tt0174378,Undirected,2
tt0103352,tt0072562,Undirected,2
tt0103352,tt0103584,Undirected,2
tt0103352,tt0413573,Undirected,4
tt0103352,tt0086687,Undirected,4
tt0103352,tt2189221,Undirected,3
tt0103352,tt0275137,Undirected,2
tt0103352,tt0111987,Undirected,63
tt0088559,tt0364845,Undirected,32
tt0088559,tt1600194,Undirected,13
tt0088559,tt1600199,Undirected,9
tt0088559,tt0174378,Undirected,10
tt0088559,tt1124373,Undirected,10
tt0088559,tt0072562,Undirected,4
tt0088559,tt0413573,Undirected,22
tt0088559,tt0462128,Undirected,2
tt0088559,tt0118300,Undirected,5
tt0088559,tt0118303,Undirected,10
tt0088559,tt0071007,Undirected,31
tt0088559,tt0165581,Undirected,14
tt0088559,tt0086687,Undirected,7
tt0088559,tt0286486,Undirected,16
tt0088559,tt0106028,Undirected,4
tt0088559,tt1843323,Undirected,3
tt0088559,tt0275137,Undirected,8
tt0088559,tt0134247,Undirected,6
tt0088559,tt0111987,Undirected,5
tt0088559,tt0103352,Undirected,5
tt0925266,tt0364845,Undirected,30
tt0925266,tt1600194,Undirected,10
tt0925266,tt1600199,Undirected,9
tt0925266,tt0174378,Undirected,6
tt0925266,tt1124373,Undirected,5
tt0925266,tt0072562,Undirected,8
tt0925266,tt0413573,Undirected,34
tt0925266,tt0462128,Undirected,11
tt0925266,tt0118303,Undirected,8
tt0925266,tt0165581,Undirected,15
tt0925266,tt0286486,Undirected,7
tt0925266,tt1843323,Undirected,6
tt0925266,tt0275137,Undirected,5
tt0925266,tt0134247,Undirected,7
tt0925266,tt1001482,Undirected,7
tt0925266,tt0088559,Undirected,2
tt1149608,tt0103584,Undirected,5
tt1149608,tt2189221,Undirected,13
tt1149608,tt0111987,Undirected,15
tt1149608,tt0103352,Undirected,8
tt1086761,tt0072562,Undirected,8
tt0103359,tt0364845,Undirected,9
tt0103359,tt1600194,Undirected,4
tt0103359,tt1600199,Undirected,9
tt0103359,tt0174378,Undirected,8
tt0103359,tt1124373,Undirected,3
tt0103359,tt0072562,Undirected,12
tt0103359,tt0413573,Undirected,18
tt0103359,tt0462128,Undirected,5
tt0103359,tt0118303,Undirected,10
tt0103359,tt0071007,Undirected,5
tt0103359,tt0165581,Undirected,10
tt0103359,tt0286486,Undirected,2
tt0103359,tt1843323,Undirected,2
tt0103359,tt0275137,Undirected,37
tt0103359,tt0088559,Undirected,12
tt0103359,tt0925266,Undirected,3
tt1663676,tt0364845,Undirected,15
tt1663676,tt1600194,Undirected,2
tt1663676,tt1600199,Undirected,2
tt1663676,tt0174378,Undirected,2
tt1663676,tt0413573,Undirected,17
tt1663676,tt0165581,Undirected,5
tt1663676,tt0286486,Undirected,5
tt1663676,tt0134247,Undirected,2
tt1663676,tt1001482,Undirected,2
tt1358522,tt0364845,Undirected,32
tt1358522,tt1600194,Undirected,9
tt1358522,tt1600199,Undirected,11
tt1358522,tt0174378,Undirected,2
tt1358522,tt1124373,Undirected,6
tt1358522,tt0072562,Undirected,9
tt1358522,tt0413573,Undirected,15
tt1358522,tt0462128,Undirected,2
tt1358522,tt0118300,Undirected,6
tt1358522,tt3749900,Undirected,12
tt1358522,tt0165581,Undirected,5
tt1358522,tt0086687,Undirected,3
tt1358522,tt0106028,Undirected,15
tt1358522,tt1843323,Undirected,2
tt1358522,tt2543328,Undirected,4
tt1358522,tt0088559,Undirected,3
tt1358522,tt0103359,Undirected,4
tt0395843,tt0364845,Undirected,358
tt0395843,tt1600194,Undirected,118
tt0395843,tt3155320,Undirected,6
tt0395843,tt1600199,Undirected,55
tt0395843,tt0174378,Undirected,36
tt0395843,tt1124373,Undirected,73
tt0395843,tt0072562,Undirected,17
tt0395843,tt0413573,Undirected,149
tt0395843,tt1833285,Undirected,3
tt0395843,tt0462128,Undirected,16
tt0395843,tt0118300,Undirected,27
tt0395843,tt3749900,Undirected,6
tt0395843,tt0118303,Undirected,27
tt0395843,tt0071007,Undirected,4
tt0395843,tt0165581,Undirected,30
tt0395843,tt0086687,Undirected,5
tt0395843,tt2189221,Undirected,3
tt0395843,tt0286486,Undirected,94
tt0395843,tt2226342,Undirected,8
tt0395843,tt2963254,Undirected,2
tt0395843,tt0106028,Undirected,14
tt0395843,tt1843323,Undirected,16
tt0395843,tt0275137,Undirected,15
tt0395843,tt2543328,Undirected,4
tt0395843,tt0134247,Undirected,33
tt0395843,tt0297494,Undirected,2
tt0395843,tt1001482,Undirected,10
tt0395843,tt0111987,Undirected,3
tt0395843,tt0103352,Undirected,7
tt0395843,tt0088559,Undirected,7
tt0395843,tt0925266,Undirected,15
tt0395843,tt1086761,Undirected,3
tt0395843,tt0103359,Undirected,7
tt0395843,tt1663676,Undirected,12
tt0395843,tt1358522,Undirected,37
tt0237123,tt0094525,Undirected,5
tt0112022,tt0364845,Undirected,372
tt0112022,tt1600194,Undirected,45
tt0112022,tt3155320,Undirected,5
tt0112022,tt1600199,Undirected,57
tt0112022,tt0174378,Undirected,67
tt0112022,tt1124373,Undirected,52
tt0112022,tt0072562,Undirected,9
tt0112022,tt0413573,Undirected,130
tt0112022,tt1138475,Undirected,2
tt0112022,tt1833285,Undirected,2
tt0112022,tt0462128,Undirected,21
tt0112022,tt0118300,Undirected,21
tt0112022,tt3749900,Undirected,4
tt0112022,tt0118303,Undirected,60
tt0112022,tt0071007,Undirected,25
tt0112022,tt0165581,Undirected,55
tt0112022,tt0086687,Undirected,18
tt0112022,tt0286486,Undirected,95
tt0112022,tt2226342,Undirected,8
tt0112022,tt0106028,Undirected,18
tt0112022,tt1843323,Undirected,5
tt0112022,tt0275137,Undirected,22
tt0112022,tt2543328,Undirected,2
tt0112022,tt0094525,Undirected,2
tt0112022,tt0134247,Undirected,50
tt0112022,tt1001482,Undirected,8
tt0112022,tt0088559,Undirected,89
tt0112022,tt0925266,Undirected,9
tt0112022,tt0103359,Undirected,17
tt0112022,tt1663676,Undirected,4
